Model,Variant,Valid_Acc,Valid_AUC,Valid_LogLoss,Valid_Brier,Valid_ECE,Calib_Acc,Calib_AUC,Calib_LogLoss,Calib_Brier,Calib_ECE
LogReg L2,raw,0.7491,0.8134,0.5417,0.1777,0.2833,0.7433,0.8058,0.5929,0.181,0.284
LogReg L2,Platt,0.7493,0.8134,0.5522,0.1841,0.2687,0.7428,0.8058,0.5766,0.1848,0.2684
LogReg L2,Isotonic,0.7481,0.8107,0.5325,0.1769,0.2766,0.745,0.8088,0.5329,0.1768,0.2625
LogReg L1,raw,0.7455,0.8133,0.5408,0.1777,0.278,0.7454,0.8068,0.5897,0.1805,0.2846
LogReg L1,Platt,0.7461,0.8133,0.551,0.1838,0.265,0.7457,0.8068,0.575,0.1842,0.2716
LogReg L1,Isotonic,0.747,0.8119,0.532,0.1766,0.2746,0.7472,0.8097,0.5319,0.1764,0.2647
DecisionTree,raw,0.7012,0.7693,0.6118,0.2002,0.2932,0.7257,0.7826,0.5972,0.1928,0.2799
DecisionTree,Platt,0.7049,0.7693,0.5762,0.196,0.2592,0.728,0.7826,0.563,0.1895,0.256
DecisionTree,Isotonic,0.7034,0.7697,0.5753,0.1956,0.2663,0.7289,0.7867,0.5566,0.187,0.2464
RandomForest,raw,0.7212,0.7964,0.5693,0.1916,0.234,0.7276,0.8032,0.5654,0.1895,0.2303
RandomForest,Platt,0.7216,0.7964,0.548,0.1843,0.2766,0.7304,0.8032,0.5421,0.1812,0.2659
RandomForest,Isotonic,0.7225,0.795,0.5478,0.1843,0.2661,0.7312,0.8061,0.5352,0.1787,0.2486
ExtraTrees,raw,0.6771,0.7445,0.6648,0.2359,0.1749,0.7042,0.7626,0.6618,0.2344,0.1997
ExtraTrees,Platt,0.675,0.7445,0.5973,0.2052,0.2236,0.6947,0.7626,0.5884,0.2001,0.2339
ExtraTrees,Isotonic,0.6773,0.7436,0.6017,0.2051,0.239,0.7057,0.7657,0.5759,0.1959,0.2232
HistGB,raw,0.7369,0.812,0.5297,0.1768,0.286,0.7396,0.8162,0.5262,0.1753,0.2755
HistGB,Platt,0.7371,0.812,0.5296,0.1767,0.2815,0.7396,0.8162,0.5261,0.1752,0.2718
HistGB,Isotonic,0.7369,0.811,0.5424,0.1772,0.2755,0.7398,0.8185,0.5199,0.1733,0.2572
XGBoost,raw,0.739,0.8172,0.5262,0.1755,0.2862,0.7411,0.8175,0.5257,0.1748,0.2713
XGBoost,Platt,0.7416,0.8172,0.5261,0.175,0.2886,0.7443,0.8175,0.5267,0.1749,0.279
XGBoost,Isotonic,0.7412,0.8158,0.5241,0.1748,0.2813,0.7448,0.8199,0.5187,0.1725,0.2623
